"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC02539",3.73255454249491,5.14191206284341,1.69669583551321,3.03054440001505,0.00244113292463063,0.0200820162392651
"FTH1P2",165.200162201966,1.61270882082044,0.505816187797547,3.18832979197955,0.00143097227649021,0.0134076601116815
"AC244034.1",25.2451239549487,7.2285597458776,1.41871028298182,5.0951627210911,3.48441840871543e-07,1.43264837377855e-05
"AC009495.3",21.6892863924566,-1.58541211153521,0.483609397599167,-3.27829053654837,0.00104437841950686,0.0103562407099041
"TSPY26P",238.596040612072,2.4319473964446,0.319037163862186,7.62277148844995,2.4828619158684e-14,5.51932018638482e-12
"LINC00957",335.84844711214,-1.48737793910208,0.39729597402649,-3.74375286018607,0.000181291978116866,0.00258811250905157
"LINC02154",76.7758567208448,8.05087044480093,1.40925748871004,5.71284560082079,1.1110247555612e-08,7.22666230876124e-07
"MSC-AS1",70.2658137888838,4.6920023472409,0.818368096853338,5.73336419794694,9.8457903137275e-09,6.56130173300784e-07
"DICER1-AS1",110.081880537019,-1.57662814836623,0.388886264776848,-4.05421402391504,5.03031461908839e-05,0.00093527788997738
"KIAA0040",11747.2554767732,-1.10328851157391,0.360871480742515,-3.05728928565877,0.00223348610864282,0.0188176553484946
"Z93022.1",51.9539721176757,-2.5052454634977,0.835779078956055,-2.99749721735907,0.00272206343758849,0.0217046201336135
"AC006978.1",148.863799622642,-1.48324401799499,0.25166627667952,-5.89369397268827,3.77656305555846e-09,2.84000349631569e-07
"GSN-AS1",19.2465713563614,3.44747497027977,0.745295070478803,4.62565111032466,3.73423434131025e-06,0.000106996921374455
"AF064858.1",250.419278706653,2.90452230970027,0.502760972174533,5.7771435541977,7.59794578950507e-09,5.24569438142997e-07
"EGOT",195.14864637692,2.27630340473128,0.743821662705447,3.06028113842752,0.00221129312011771,0.0186851497605937
"GAPDHP14",60.6858471511263,1.68120435379817,0.540248510739891,3.11190927948269,0.00185881612081888,0.0164097946841633
"PPIAL4G",35.8688344606187,3.33046565877162,0.634610655317374,5.24804560223785,1.53721251509773e-07,7.06733453816181e-06
"LINC00299",109.762064897242,2.73044130700072,0.718709062031249,3.79909124741494,0.000145227620055365,0.00220556270728226
"ELOA-AS1",31.9459005994265,-1.05246930203694,0.388979825221709,-2.70571693901363,0.00681571143374417,0.0442474411403115
"AL137793.1",5.81311483267705,6.48993147765759,1.72905434127782,3.75345720647586,0.000174412318687515,0.00251518900014844
"ZEB1-AS1",123.567820881097,-1.27463655978118,0.367979626022412,-3.46387807813997,0.000532447778457905,0.00612678390809156
"FTH1P11",53.6114488379987,1.62396068091373,0.533531133321754,3.04379740841548,0.00233612402133931,0.0194876094134734
"AC246785.3",16.3220338796456,2.67510071117984,0.692613755458832,3.86232685980613,0.000112312159948751,0.00179743883196463
"AL606807.1",154.264848538018,1.66334432655235,0.527560714351999,3.15289649381007,0.00161659116486671,0.0147906027472133
"PRSS56",5.23171760849405,6.5716782215666,1.60863531103114,4.08525050799371,4.40292880292727e-05,0.00084583900051677
"AL357060.1",198.010709108323,1.36467889762805,0.392151343589652,3.47998016565782,0.000501450904692536,0.00586010996593028
"LINC01888",256.773524834115,2.00377736955793,0.638299396795762,3.13924371480972,0.00169384507801028,0.0153447344751768
"AC010980.1",59.264580255438,7.1024756809095,1.18976761599825,5.96963271264558,2.37788273665919e-09,1.90127232726793e-07
"AC079922.2",68.740773275517,-1.18977812099732,0.424335768547511,-2.80386007776318,0.00504948134463358,0.0351258452959397
"AL162615.1",159.768821901343,2.16192718716253,0.35587739061572,6.07492143128869,1.24048442188869e-09,1.05435963741119e-07
"NALT1",31.2113272793112,-3.30447500296467,0.677103647608759,-4.88030896692799,1.05919769736829e-06,3.70700868859224e-05
"AL078604.2",521.090880793619,2.8819972299281,0.529392464126624,5.44397101436405,5.21057024622705e-08,2.80331450826934e-06
"AL391069.2",17.5134715330731,2.23487207194612,0.514947331947761,4.34000126477564,1.42481895954496e-05,0.000332413245609668
"LINC01410",231.953307892907,-1.82453082419262,0.663965373322869,-2.74793068659831,0.00599726859074817,0.0400524088221343
"AC116366.2",314.973039807649,-2.84929011010193,0.531236988685042,-5.36350098127525,8.16242081012504e-08,4.13828597914836e-06
"AL512288.2",11.6398716408602,2.11905556274476,0.532292079563588,3.98100149166622,6.86255185765121e-05,0.00120401180857265
"CCR12P",17.7130968274359,3.82248551752063,1.13877505492053,3.35666425164836,0.000788888472278816,0.00836834027568337
"AL513320.1",28.980506712708,-1.7872986124474,0.657060003663591,-2.72014519599717,0.00652532569372002,0.0427879460156442
"TLR9",674.019707245788,-1.31159058566034,0.45819474304328,-2.86251775161997,0.00420289716415331,0.0303644309763062
"AC017116.1",137.778232846037,-1.75030774202403,0.528139561031226,-3.31410080056575,0.00091938356733632,0.00938355710577518
"MRPS17",59.6780776621938,1.18080310159585,0.38889083345936,3.0363356500128,0.00239472620109849,0.0198019120444599
"C1orf226",46.1708507835027,-1.51238924207435,0.565012885969573,-2.67673407037267,0.0074343616061185,0.0473519209477869
"PRKAG2-AS1",24.7302650781583,3.71873085069651,0.580223761406866,6.4091323004072,1.46350156599379e-10,1.59167597733808e-08
"RN7SL368P",89.983478506334,1.8520846292744,0.492309079494839,3.76203630283405,0.000168535577341835,0.00245852333297979
"RPL7P24",51.5066348610537,2.81678409800493,0.679367195963339,4.14618797425264,3.38056328937619e-05,0.000675745205343785
"AL133163.1",43.1936288621221,2.7884287231067,0.625054370021899,4.4610978769879,8.15408354868632e-06,0.00020439771512562
"AC078785.1",15.9191960530249,2.92219257439744,0.668618698532939,4.37049185254499,1.23966980311682e-05,0.000297124175915286
"AC004801.2",38.6705414513511,1.31079720567069,0.335660748627818,3.90512507354296,9.41766641497218e-05,0.00156027824658863
"ARHGAP31-AS1",8.40844657021043,4.27538165185765,1.10976639726973,3.85250595294292,0.000116915133436592,0.00185205656561379
"LINC00877",3571.66160918801,3.15939509731339,0.530188851465262,5.95899949344823,2.53786885521844e-09,2.02120271937849e-07
"SETP6",14.8929010334684,2.61533441527071,0.714453393777928,3.66060884873286,0.000251616632633168,0.00339104121354854
"CDRT1",19.1332128144425,6.73110466450879,1.16563125547863,5.77464325263385,7.71162970882577e-09,5.28808669084191e-07
"CA15P1",7.50715590131241,-2.33694177579529,0.878250009181905,-2.66090720337387,0.00779304316408513,0.0489126497568347
"AC002467.1",60.5472555127418,-1.23251428953758,0.454248721245491,-2.7133027169745,0.00666162209588705,0.0434422802636038
"AC093583.1",1083.89627594723,7.1120958000152,0.921349642709361,7.71921480221239,1.17048505380824e-14,2.88752953091304e-12
"AMACR",329.821402250153,-2.78166235752667,0.500999670861382,-5.55222392211174,2.82057962098262e-08,1.64906084256813e-06
